Answer,Difficulty,QuestionId,QuestionText,TopicId,Type
"Ihan vitusti, Ionitulo pt 3!",4,95_3,Paljonko Ionitulo painaa?,95,OpenEnded
"Ihan vitusti, Ionitulo pt 4!",5,95_4,Montako Ionitulo saa markalla?,95,OpenEnded
"Ihan vitusti, Yhteinen ioni (liukoisuustulo) pt 0!",1,96_0,Yhteinen ioni (liukoisuustulo) on...,96,flashcard
"Ihan vitusti, Yhteinen ioni (liukoisuustulo) pt 1!",2,96_1,Yhteinen ioni (liukoisuustulo) ei ole...,96,flashcard
"Ihan vitusti, Yhteinen ioni (liukoisuustulo) pt 2!",3,96_2,Yhteinen ioni (liukoisuustulo) kaltainen on,96,flashcard
"Ihan vitusti, Yhteinen ioni (liukoisuustulo) pt 3!",4,96_3,Paljonko Yhteinen ioni (liukoisuustulo) painaa?,96,OpenEnded
"Ihan vitusti, Yhteinen ioni (liukoisuustulo) pt 4!",5,96_4,Montako Yhteinen ioni (liukoisuustulo) saa markalla?,96,OpenEnded
"Ihan vitusti, Liukoisuus ja pH pt 0!",1,97_0,Liukoisuus ja pH on...,97,flashcard
"Ihan vitusti, Liukoisuus ja pH pt 1!",2,97_1,Liukoisuus ja pH ei ole...,97,flashcard
"Ihan vitusti, Liukoisuus ja pH pt 2!",3,97_2,Liukoisuus ja pH kaltainen on,97,flashcard
"Ihan vitusti, Liukoisuus ja pH pt 3!",4,97_3,Paljonko Liukoisuus ja pH painaa?,97,OpenEnded
"Ihan vitusti, Liukoisuus ja pH pt 4!",5,97_4,Montako Liukoisuus ja pH saa markalla?,97,OpenEnded
"Ihan vitusti, Puskuriliuos pt 0!",1,98_0,Puskuriliuos on...,98,flashcard
"Ihan vitusti, Puskuriliuos pt 1!",2,98_1,Puskuriliuos ei ole...,98,flashcard
"Ihan vitusti, Puskuriliuos pt 2!",3,98_2,Puskuriliuos kaltainen on,98,flashcard
"Ihan vitusti, Puskuriliuos pt 3!",4,98_3,Paljonko Puskuriliuos painaa?,98,OpenEnded
"Ihan vitusti, Puskuriliuos pt 4!",5,98_4,Montako Puskuriliuos saa markalla?,98,OpenEnded
"Ihan vitusti, Henderson-Hasselbalchin yhtälö pt 0!",1,99_0,Henderson-Hasselbalchin yhtälö on...,99,flashcard
"Ihan vitusti, Henderson-Hasselbalchin yhtälö pt 1!",2,99_1,Henderson-Hasselbalchin yhtälö ei ole...,99,flashcard
"Ihan vitusti, Henderson-Hasselbalchin yhtälö pt 2!",3,99_2,Henderson-Hasselbalchin yhtälö kaltainen on,99,flashcard
"Ihan vitusti, Henderson-Hasselbalchin yhtälö pt 3!",4,99_3,Paljonko Henderson-Hasselbalchin yhtälö painaa?,99,OpenEnded
"Ihan vitusti, Henderson-Hasselbalchin yhtälö pt 4!",5,99_4,Montako Henderson-Hasselbalchin yhtälö saa markalla?,99,OpenEnded
"Ihan vitusti, Laskuja puskuriliuoksilla pt 0!",1,100_0,Laskuja puskuriliuoksilla on...,100,flashcard
"Ihan vitusti, Laskuja puskuriliuoksilla pt 1!",2,100_1,Laskuja puskuriliuoksilla ei ole...,100,flashcard
"Ihan vitusti, Laskuja puskuriliuoksilla pt 2!",3,100_2,Laskuja puskuriliuoksilla kaltainen on,100,flashcard
"Ihan vitusti, Laskuja puskuriliuoksilla pt 3!",4,100_3,Paljonko Laskuja puskuriliuoksilla painaa?,100,OpenEnded
"Ihan vitusti, Laskuja puskuriliuoksilla pt 4!",5,100_4,Montako Laskuja puskuriliuoksilla saa markalla?,100,OpenEnded
"Ihan vitusti, Tasapainovakio osapaineista pt 0!",1,101_0,Tasapainovakio osapaineista on...,101,flashcard
"Ihan vitusti, Tasapainovakio osapaineista pt 1!",2,101_1,Tasapainovakio osapaineista ei ole...,101,flashcard
"Ihan vitusti, Tasapainovakio osapaineista pt 2!",3,101_2,Tasapainovakio osapaineista kaltainen on,101,flashcard
"Ihan vitusti, Tasapainovakio osapaineista pt 3!",4,101_3,Paljonko Tasapainovakio osapaineista painaa?,101,OpenEnded
"Ihan vitusti, Tasapainovakio osapaineista pt 4!",5,101_4,Montako Tasapainovakio osapaineista saa markalla?,101,OpenEnded
